id,text,gt_entities
0,"Hey ))",[]
1,"Hey",[]
2,"ygybvyvuvhhvuvyvugzzzzzmmm",[]
3,"Chil102.exe chil103.dll",[]
4,"Fresh chillies near Marseille","[{""text"": ""Marseille"", ""type"": ""LOCATION"", ""start_pos"": 20, ""end_pos"": 29}]"
5,"Hey))",[]
6,"Hey",[]
7,"Hey ))",[]
8,"What files to do?",[]
9,"I do not know",[]
10,"I thought you were aware",[]
11,"Hello.",[]
12,"Stern said to make files for you. What are needed?","[{""text"": ""Stern"", ""type"": ""PERSON"", ""start_pos"": 0, ""end_pos"": 5}]"
13,"I&#39;ll ask Morse","[{""text"": ""Morse"", ""type"": ""PERSON"", ""start_pos"": 13, ""end_pos"": 18}]"
14,"Hey",[]
15,"I understand the trick",[]
16,"I&#39;ll clarify by group",[]
17,"Please do mor114",[]
18,"Ok",[]
19,"Morse trick crypto?","[{""text"": ""Morse"", ""type"": ""PERSON"", ""start_pos"": 0, ""end_pos"": 5}]"
20,"Yes",[]
21,"How many versions?",[]
22,"mor114 now Hof will flood",[]
23,"Do not know",[]
24,"Didn&#39;t specify how much",[]
25,"Let&#39;s make 3 versions. 2 with different hashes and 1 with a different stub. Norm?",[]
26,"flooded",[]
27,"Good",[]
28,"Hof flooded",[]
29,"Hey",[]
30,"I need a file to download. tomorrow",[]
31,"by 13.00",[]
32,"Moscow time","[{""text"": ""Moscow"", ""type"": ""LOCATION"", ""start_pos"": 0, ""end_pos"": 6}]"
33,"What about on Sunday?",[]
34,"although not by 9.00 Moscow time","[{""text"": ""Moscow"", ""type"": ""LOCATION"", ""start_pos"": 21, ""end_pos"": 27}]"
35,"Sunday is not necessary",[]
36,"tomorrow at 9.00",[]
37,"<mors>although not by 9.00 Moscow time [21:18:00]<mors> don&#39;t do it on sunday [21:18:05]<mors> tomorrow at 9.00","[{""text"": ""Moscow"", ""type"": ""LOCATION"", ""start_pos"": 27, ""end_pos"": 33}]"
38,"What&#39;s the best way to do it?",[]
39,"""I will be tomorrow at 9 am Moscow time. I can fill it in now","[{""text"": ""Moscow"", ""type"": ""LOCATION"", ""start_pos"": 28, ""end_pos"": 34}]"
40,"Let&#39;s go for version 1.",[]
41,"""Okay",[]
42,"flooded",[]
43,"Look",[]
44,"All OK.",[]
45,"See you tomorrow ))",[]
46,"Good",[]
47,"See you tomorrow))",[]
48,"plfhjdf",[]
49,"healthy",[]
50,"plfhjdf",[]
51,"healthy",[]
52,"Hey",[]
53,"""Download: https://qaz.im/load/r4QGkk/ty2Bht","[{""text"": ""https://qaz.im/load/r4QGkk/ty2Bht"", ""type"": ""URL"", ""start_pos"": 11, ""end_pos"": 44}]"
54,Delete: https://qaz.im/index.php?a=delete&q=2099840957,"[{""text"": ""https://qaz.im/index.php?a=delete&q=2099840957"", ""type"": ""URL"", ""start_pos"": 8, ""end_pos"": 54}]"
55,"Pass: FDWQASAFDASAFDASADF""",[]
56,"Wait",[]
57,"Hey",[]
58,"""Download: https://qaz.im/load/r4QGkk/ty2Bht","[{""text"": ""https://qaz.im/load/r4QGkk/ty2Bht"", ""type"": ""URL"", ""start_pos"": 11, ""end_pos"": 44}]"
59,Delete: https://qaz.im/index.php?a=delete&q=2099840957,"[{""text"": ""https://qaz.im/index.php?a=delete&q=2099840957"", ""type"": ""URL"", ""start_pos"": 8, ""end_pos"": 54}]"
60,"Pass: FDWQASAFDASAFDASADF""",[]
61,"Wait",[]
62,"Hello. Can I connect to that Windows Server 2019 VM?",[]
63,"""<arbadakarba2000>hello [14:25:17]<volhvb> There was a problem with serts. Can&#39;t install [14:25:56]<arbadakarba2000> I can install",[]
64,"Hey",[]
65,"I&#39;m here",[]
66,"""sorry",[]
67,"[21:39:30]<electronic> when does the target happen on the network? when is the best time to get him?",[]
68,"[21:39:56]<Stern> usually always online [21:40:04]<Stern> I think on Monday it will be [21:40:17]<electronic> usually during the day? [21:40:27]<Stern> yes [21:40:27]<electronic> he is always in my office for some reason [21:40:36]<electronic> OK",[]
69,"waiting for you",[]
70,"Hey",[]
71,"tor hangs constantly lately",[]
72,"let&#39;s write",[]
73,"""[08:28:10]<electronic> hello [08:28:11]<electronic> I&#39;m here [08:29:04]<electronic> sorry",[]
74,"""we&#39;ll decide everything",[]
75,"Hey",[]
76,"there were large shops of 200-500 ml",[]
77,"then everything fell apart",[]
78,"as he wrote",[]
79,"you",[]
80,"""in general",[]
81,"at the beginning of September we will do more",[]
82,"to these numbers it is necessary to establish a connection with you",[]
83,"""well",[]
84,"constantly hanging",[]
85,"write me here during the day",[]
86,"constantly",[]
87,"if the toad lies",[]
88,"then describe the off",[]
89,"agree everything somehow with this toad",[]
90,"wild",[]
91,"confirm that you received messages",[]
92,"""in general",[]
93,"up to 5 numbers",[]
94,"large ecommerce shops",[]
95,"""well",[]
96,"ask ryuk to text me","[{""text"": ""ryuk"", ""type"": ""PERSON"", ""start_pos"": 4, ""end_pos"": 8}]"
97,"for us to work together",[]
98,"at the beginning of September we will start working with him",[]
99,"with a prof",[]
100,"and with an electron",[]
101,"""offline",[]
102,"how",[]
103,"you",[]
104,"""Hello",[]
105,"I am writing to you from that world",[]
106,"and how is it",[]
107,"in the world of the living",[]
108,")))))))",[]
109,"what&#39;s new dooms)",[]
110,"How is our work going?",[]
111,"1 kerb huddled for emp)",[]
112,"There is a chance that the locale is admin",[]
113,"So on Monday they will close the case",[]
114,"what is the power",[]
115,"we have tesla",[]
116,"в100",[]
117,"100 pieces",[]
118,"video cards",[]
119,"How much do you have",[]
120,"And honestly xs",[]
121,"Not interested",[]
122,"ask a pro",[]
123,"or i know",[]
124,"does not matter",[]
125,"pongyal",[]
126,"you have 3 corps right?",[]
127,"For you",[]
128,"fixed",[]
129,"Personal?",[]
130,"to her",[]
131,"Yes",[]
132,"1 zohocorp for offline players on promotion",[]
133,"oh yes it is)",[]
134,"1 yard network",[]
135,"did you decide to give them?",[]
136,"But it&#39;s not that simple.)",[]
137,"understood)",[]
138,"prof wrote to me",[]
139,"sort of",[]
140,"as I understand",[]
141,"4 grids there in work",[]
142,"""and 1 vyptail a little bit at all",[]
143,"""the rest",[]
144,"""and as I understand it",[]
145,"but did not understand who",[]
146,"to the office?",[]
147,"""Well",[]
148,"or do you have nets for them",[]
149,"now 40 2080ti",[]
150,"farm power",[]
151,"you can find out",[]
152,"what power",[]
153,"will",[]
154,"from 100",[]
155,"pieces",[]
156,"tesla v100",[]
157,"these are the most powerful video cards",[]
158,"in the world like",[]
159,"and they still need to be combined somehow for work",[]
160,"but it&#39;s not that hard",[]
161,"So they probably will stand lard?",[]
162,"1kk",[]
163,"Rub?",[]
164,"No",[]
165,"with them as I understand",[]
166,"at the moment 50% of the grids can be untwisted",[]
167,"so it&#39;s pennies",[]
168,"on business",[]
169,"now 40 2080ti only now I want to get rcuda software to unite clusters 1:11 AM and Tesla in 100 x100 will be more powerful? 1:13 AM tesla is 2x faster 1:14 AM compared to 2080ti? 1:14 AM 2 times faster than 2080ti 1:15 AM got it 1:15 AM but costs 6 times more",[]
170,"in general",[]
171,"ask",[]
172,"2-4 times faster",[]
